고유번호,구명,품계수종,수고,관리등급,위치,환경영향,전정,도로길이,구번호,전선유무,순번,품계활력,흉고지름,품계위치,수관너비,현존유무,관리기관,피해정도,주변토지사용상태,방재,관리방안,수목고유번호,차선수,보호덮개,가로명,가치등급,품계흉고,수목명,경도,위도
7722,중구,8,6,2,행복웨딩홀,0.00E+00, ,0.00E+00,2,2,5,8,15,6,5,0,공원녹지과,0.00E+00,0,2010. 진딧물 및 흰불나방 방제,0.00E+00,2-서애길-가-0005,0.00E+00,1,서애길,0.00E+00,3,왕벚나무,126.9960164,37.5612851
7723,중구,8,6,2,행복웨딩홀,0.00E+00, ,0.00E+00,2,2,6,8,15,6,5,0,공원녹지과,0.00E+00,0,2010. 진딧물 및 흰불나방 방제,0.00E+00,2-서애길-가-0006,0.00E+00,1,서애길,0.00E+00,3,왕벚나무,126.9960118,37.5612428
7724,중구,4,10,2,동인빌딩,0.00E+00, ,0.00E+00,2,2,427,8,25,12,5,0,공원녹지과,0.00E+00,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-퇴계로-가-0427,0.00E+00,1,퇴계로,0.00E+00,6,소나무,126.9948225,37.5612655
7725,중구,8,6,2,행복웨딩홀 주차장,0.00E+00, ,0.00E+00,2,2,8,8,15,6,5,0,공원녹지과,0.00E+00,0,2010. 진딧물 및 흰불나방 방제,0.00E+00,2-서애길-가-0008,0.00E+00,1,서애길,0.00E+00,3,왕벚나무,126.9960166,37.5611526
7726,중구,4,10,2,행복웨딩홀,0.00E+00, ,0.00E+00,2,2,428,8,25,12,5,0,공원녹지과,0.00E+00,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-퇴계로-가-0428,0.00E+00,1,퇴계로,0.00E+00,6,소나무,126.9956879,37.5614514
7512,중구,4,6,1, ,0.00E+00, ,0.00E+00,2,2,43,8,20,12,6,0,공원녹지과,2,0,2010. 진딧물 방제,0.00E+00,2-청계천로-가-0037,0.00E+00,1,청계천로,0.00E+00,12,느티나무,127.0009968,37.5692733
7513,중구,8,8,2,코오롱빌딩,0.00E+00, ,0.00E+00,2,2,77,8,22,9,8,0,공원녹지과,2,0, ,0.00E+00,2-무교동길-가-0078,0.00E+00,2,무교동길,0.00E+00,6,은행나무,126.9784811,37.5680235
7514,중구,4,3.5,1,태양정,0.00E+00, ,1400,2,2,1,8,12,12,3,0,공원녹지과,2,0, ,0.00E+00,2-수표다릿길-가-0026,0.00E+00,1,수표다릿길,0.00E+00,0.00E+00,이팝나무,126.9902776,37.5637013
7515,중구,8,11,2,CJ 본사,0.00E+00, ,0.00E+00,2,2,3,8,25,9,6,0,공원녹지과,0.00E+00,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-후암동길-가-0003,0.00E+00,1,후암동길,0.00E+00,6,소나무,126.9764922,37.5545715
7516,중구,4,18,1,삼성판매,0.00E+00, ,0.00E+00,2,2,161,8,43,12,7,0,공원녹지과,2,0,2010. 방패벌레 수간주사 및 흰불나방 지상방제,0.00E+00,2-왕십리길-가-0162,0.00E+00,1,왕십리길,0.00E+00,12,양버즘나무,127.0209105,37.5655692
7517,중구, ,0.00E+00,0.00E+00,동대문서울메트로별관,0.00E+00, ,0.00E+00, , ,0.00E+00,0.00E+00,0.00E+00, ,0.00E+00, , ,0.00E+00, , ,0.00E+00, ,0.00E+00,0.00E+00, ,0.00E+00,0.00E+00, , , 
7518,중구,8,16,2,남산육교,0.00E+00, ,0.00E+00,2,2,94,6,25,9,10,0,공원녹지과,1,0, ,0.00E+00,2-소월길-가-0094,0.00E+00,1,소월길,0.00E+00,6,은행나무,126.9762644,37.5581483
7519,중구,4,3.5,2, ,0.00E+00, ,1150,2,2,1,8,12,9,3,0,공원녹지과,0.00E+00,0, ,0.00E+00,2-돈화문로-가-000108,0.00E+00,1,돈화문로,0.00E+00,6,이팝나무,126.9926981,37.5652025
7520,중구,8,23,2,하나아트나염,0.00E+00, ,0.00E+00,2,1,110,8,35,6,8,0,공원녹지과,2,0, ,0.00E+00,2-금호동길-가-0110,0.00E+00,1,금호동길,0.00E+00,9,은행나무,127.0105898,37.5617015
7521,중구,8,5,2, ,0.00E+00, ,0.00E+00,2,1,120,8,12,6,6,0,공원녹지과,0.00E+00,0,2010. 진딧물 및 흰불나방 방제,0.00E+00,2-서애길-가-0120,0.00E+00,1,서애길,0.00E+00,3,왕벚나무,126.9960503,37.5577273
7522,중구,4,14,2,멋쟁이마을,0.00E+00, ,0.00E+00,2,1,58,8,36,6,10,0,공원녹지과,2,0,2010. 방패벌레 수간주사 및 흰불나방 지상방제,0.00E+00,2-금호동길-가-0058,0.00E+00,2,금호동길,0.00E+00,9,양버즘나무,127.0168895,37.559417
7524,중구,4,30,2,덕수궁(태평로),0.00E+00, ,0.00E+00,2,2,263,8,30,12,12,0,공원녹지과,2,0,2010. 방패벌레 수간주사 및 흰불나방 지상방제,0.00E+00,2-태평로-가-0263,0.00E+00,1,태평로,0.00E+00,6,양버즘나무,126.9767857,37.5652713
7525,중구,8,6,2,서울역,0.00E+00, ,0.00E+00,2,2,173,8,8,12,5,0,공원녹지과,2,0, ,0.00E+00,2-의주로-가-0173,0.00E+00,1,의주로,0.00E+00,3,은행나무,126.9713733,37.5582429
7805,중구,8,14,1,남대문시장,0.00E+00, ,0.00E+00,2,2,146,8,26,12,7,0,공원녹지과,2,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-남대문로-가-0146,0.00E+00,2,남대문로,0.00E+00,6,소나무,126.9826995,37.5650906
7807,중구,8,14,1,남대문시장,0.00E+00, ,0.00E+00,2,2,134,8,26,12,7,0,공원녹지과,2,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-남대문로-가-0134,0.00E+00,2,남대문로,0.00E+00,6,소나무,126.982516,37.5643551
7808,중구,8,10,1,우리은행,0.00E+00, ,0.00E+00,2,2,31,8,26,12,7,0,공원녹지과,2,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-반포로-가-0031,0.00E+00,1,반포로,0.00E+00,6,소나무,126.9825594,37.5589687
7809,중구, ,0.00E+00,0.00E+00, ,0.00E+00, ,0.00E+00, , ,0.00E+00,0.00E+00,0.00E+00, ,0.00E+00, , ,0.00E+00, ,2010. 흡즙성및천공성 해충종합방제,0.00E+00, ,0.00E+00,0.00E+00, ,0.00E+00,0.00E+00, , , 
7806,중구,8,14,1,남대문시장,0.00E+00, ,0.00E+00,2,2,133,8,26,12,7,0,공원녹지과,2,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-남대문로-가-0133,0.00E+00,2,남대문로,0.00E+00,6,소나무,126.982516,37.5643551
7810,중구,8,14,1,남대문시장,0.00E+00, ,0.00E+00,2,2,130,8,26,12,7,0,공원녹지과,2,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-남대문로-가-0130,0.00E+00,2,남대문로,0.00E+00,6,소나무,126.9824157,37.5640924
7811,중구,8,14,1,남대문시장,0.00E+00, ,0.00E+00,2,2,129,8,26,12,7,0,공원녹지과,2,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-남대문로-가-0129,0.00E+00,2,남대문로,0.00E+00,6,소나무,126.9823669,37.5639873
7812,중구,8,14,1,남대문시장,0.00E+00, ,0.00E+00,2,2,132,8,26,12,7,0,공원녹지과,2,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-남대문로-가-0132,0.00E+00,2,남대문로,0.00E+00,6,소나무,126.9823669,37.5639873
7813,중구,8,14,1,남대문시장,0.00E+00, ,0.00E+00,2,2,149,8,26,12,7,0,공원녹지과,2,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-남대문로-가-0149,0.00E+00,2,남대문로,0.00E+00,6,소나무,126.9823669,37.5639873
7552,중구,8,18,1,한화빌딩,0.00E+00, ,0.00E+00,2,2,5,8,22,12,9,0,공원녹지과,2,0, ,0.00E+00,2-을지로-가-0512,0.00E+00,1,태평로1가로,0.00E+00,6,은행나무,126.9858402,37.5666585
7553,중구,8,13,1,한화종합금융,0.00E+00, ,0.00E+00,2,2,134,8,28,12,7,0,공원녹지과,2,0, ,0.00E+00,2-청계천로-가-0134,0.00E+00,1,청계천로,0.00E+00,6,은행나무,126.9866059,37.567916
7554,중구,4,10,1,동대후문입구,0.00E+00,0,0.00E+00,2,2,472,8,25,12,5,0,공원녹지과,0.00E+00,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-퇴계로-가-0472,0.00E+00,1,퇴계로,0.00E+00,9,소나무,126.9995107,37.5623452
7555,중구,8,19,2,정동교회,0.00E+00, ,0.00E+00,2,2,200,8,25,6,12,0,공원녹지과,2,0, ,0.00E+00,2-덕수궁길-가-0200,0.00E+00,1,덕수궁길,0.00E+00,6,은행나무,126.9723739,37.5658126
7556,중구,8,17,1,모토뱅크,0.00E+00, ,0.00E+00,2,2,137,8,46,12,8,0,공원녹지과,2,0, ,0.00E+00,2-훈련원로-가-0137,0.00E+00,1,훈련원로,0.00E+00,12,은행나무,127.0026828,37.5639824
7557,중구,8,6,2,새한교역,0.00E+00, ,0.00E+00,2,1,89,8,12,6,6,0,공원녹지과,0.00E+00,0,2010. 진딧물 및 흰불나방 방제,0.00E+00,2-서애길-가-0089,0.00E+00,1,서애길,0.00E+00,3,왕벚나무,126.9957799,37.5558466
7558,중구,8,8,1,삼각동,0.00E+00, ,0.00E+00,2,2,149,8,15,12,6,0,공원녹지과,2,0,2010. 진딧물 및 흰불나방 등 지상방제,0.00E+00,2-청계천로-가-0149,0.00E+00,1,청계천로,0.00E+00,6,회화나무,126.9835723,37.5685655
7559,중구,8,18,1,파라다이스,0.00E+00, ,0.00E+00,2,2,27,8,33,12,10,0,공원녹지과,2,0, ,0.00E+00,2-훈련원로-가-0027,0.00E+00,1,훈련원로,0.00E+00,9,은행나무,127.0032158,37.5592697
