고유번호,구명,품계수종,수고,관리등급,위치,구번호,전선유무,순번,품계활력,흉고지름,품계위치,수관너비,관리기관,수목고유번호,보호덮개,가로명,품계흉고,수목명,경도,위도,피해정도
1884,중구,8,24,1,삼성화재,2,2,14,8,40,9,12,공원녹지과,2-무교동길-가-0014,1,무교동길,9,은행나무,126.9792758,37.5667061,2
1885,중구,8,7,2,롯데백화점,2,2,319,8,13,12,4,공원녹지과,2-을지로-가-0319,1,을지로,3,은행나무,126.9818773,37.5659007,2
1886,중구,8,18,1,동아빌딩,2,2,230,8,28,12,9,공원녹지과,2-남대문로-가-0236,1,남대문로,6,은행나무,126.9825413,37.567943,2
1887,중구,8,12,2,조광인쇄,2,2,31,8,22,6,8,공원녹지과,2-을지로-가-0538,1,태평로1가로,6,은행나무,126.9857173,37.5671106,2
1888,중구,8,15,2,골드상호금고,2,1,204,8,14,6,7,공원녹지과,2-마른내길-가-0204,1,마른내길,3,은행나무,126.9919291,37.5643602,1
1889,중구,4,10,3,영미상가,2,2,13,8,30,6,6,공원녹지과,2-마장로-가-0013,1,마장로,6,은행나무,127.0220156,37.5681876,2
1890,중구,8,15,2,흥인사거리,2,2,210,8,24,9,6,공원녹지과,2-마장로-가-0210,1,마장로,6,은행나무,127.0148615,37.567947,2
1891,중구,8,10,2,영원무역,2,1,74,8,27,9,8,공원녹지과,2-만리재길-가-0074,1,만리재길,6,은행나무,126.9640108,37.5529389,2
1892,중구,4,10,2,포스코,2,2,32,8,25,9,5,공원녹지과,2-칠패길-가-0032,1,칠패길,9,소나무,126.9719911,37.5597004,0.00E+00
1893,중구,8,26,1,상공회의소,2,2,230,8,24,12,18,공원녹지과,2-태평로-가-0230,1,태평로,6,은행나무,126.9768446,37.5668982,2
1894,중구,8,17,2,정동아파트,2,2,118,8,28,6,16,공원녹지과,2-덕수궁길-가-0118,1,덕수궁길,6,은행나무,126.9703976,37.5670172,2
1895,중구,8,20,1,국제빌딩,2,2,239,8,32,12,9,공원녹지과,2-남대문로-가-0245,1,남대문로,9,은행나무,126.982518,37.5671766,2
1919,중구,4,6,1, ,2,2,43,8,20,12,6,공원녹지과,2-청계천로-가-0043,1,청계천로,12,느티나무,127.0003035,37.5691409,2
1920,중구,4,6,1, ,2,2,43,8,20,12,6,공원녹지과,2-청계천로-가-0033,1,청계천로,12,느티나무,126.999705,37.5690275,2
1921,중구,4,6,1, ,2,2,43,8,20,12,6,공원녹지과,2-청계천로-가-0048,1,청계천로,12,느티나무,126.9995717,37.5690015,2
1922,중구,4,6,1, ,2,2,43,8,20,12,6,공원녹지과,2-청계천로-가-0089,1,청계천로,12,느티나무,126.9927846,37.5682299,2
1923,중구,8,12,1,남산,2,2,77,8,31,9,8,공원녹지과,2-소파길-가-0077,1,소파길,9,은행나무,126.9834516,37.554826,2
1924,중구,8,17,2,남산,2,2,85,6,31,9,10,공원녹지과,2-소파길-가-0085,1,소파길,9,은행나무,126.9828648,37.5545156,2
1925,중구,8,17,1,파라다이스,2,2,87,8,23,12,7,공원녹지과,2-훈련원로-가-0087,1,훈련원로,6,은행나무,127.0029669,37.5605249,2
